language,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8
arb,0.0,36.0,45.0,135.0,167.0,201.0,242.0,308.0
bra,0.0,81.0,118.0,136.0,169.0,258.0,274.0,327.0
cmn,0.0,18.0,38.0,154.0,171.0,196.0,217.0,318.0
deu,0.0,64.0,97.0,132.0,182.0,254.0,282.0,336.0
ell,0.0,72.0,86.0,133.0,161.0,233.0,267.0,328.0
eng,0.0,46.0,94.0,138.0,177.0,231.0,275.0,340.0
fra,0.0,69.0,102.0,129.0,173.0,246.0,275.0,325.0
hrv,0.0,84.0,93.0,160.0,173.0,243.0,273.0,354.0
ind,0.0,53.0,104.0,123.0,139.0,202.0,284.0,308.0
ita,0.0,57.0,104.0,142.0,170.0,274.0,285.0,336.0
jpn,0.0,45.0,101.0,140.0,159.0,270.0,289.0,339.0
kor,0.0,52.0,86.0,123.0,151.0,246.0,272.0,289.0
nld,0.0,43.0,111.0,125.0,174.0,257.0,307.0,341.0
pol,0.0,69.0,91.0,128.0,176.0,266.0,274.0,339.0
spa,0.0,41.0,103.0,147.0,174.0,238.0,279.0,332.0
swe,0.0,66.0,87.0,146.0,175.0,249.0,275.0,335.0
tha,0.0,27.0,76.0,150.0,173.0,197.0,256.0,344.0
tur,0.0,55.0,97.0,106.0,157.0,254.0,289.0,313.0
yue,0.0,39.0,43.0,159.0,168.0,240.0,282.0,329.0
