language,step1_ci,step1_pass,step2_score,step2_pass,step3_min_r2,step3_pass,step4_cosine,step4_procrustes,step4_pass,tier
alb,0.3541666666666667,False,,False,,False,,,False,Low
arb,0.8888888888888888,True,3.0,True,0.9057,True,0.9193,0.9275,True,High
bra,0.7777777777777778,True,2.0,False,,False,,,False,Medium
cmn,0.8125,True,3.0,True,0.6112,False,0.8572,0.6858,False,Medium
deu,0.9722222222222222,True,3.0,True,0.9656,True,0.9537,0.9516,True,High
ell,0.9097222222222222,True,3.0,True,0.9592,True,0.9763,0.9489,True,High
eng,0.9861111111111112,True,3.0,True,0.986,True,0.9787,0.9789,True,High
fra,0.9305555555555556,True,1.0,False,,False,,,False,Medium
hrv,0.8541666666666666,True,3.0,True,0.9824,True,0.9719,0.9762,True,High
ind,0.7708333333333334,True,3.0,True,0.8676,True,0.926,0.8725,True,High
ita,0.9027777777777778,True,3.0,True,0.8829,True,0.9287,0.9229,True,High
jpn,0.8263888888888888,True,1.0,False,,False,,,False,Medium
kor,0.8194444444444444,True,2.0,False,,False,,,False,Medium
nld,0.7986111111111112,True,3.0,True,0.8926,True,0.9489,0.8866,True,High
pol,0.8819444444444444,True,3.0,True,0.9428,True,0.9374,0.9318,True,High
spa,0.9513888888888888,True,3.0,True,0.9761,True,0.9756,0.9462,True,High
swe,0.9652777777777778,True,3.0,True,0.9876,True,0.9707,0.9618,True,High
tha,0.8472222222222222,True,2.0,False,,False,,,False,Medium
tur,0.8194444444444444,True,3.0,True,0.8518,True,0.9266,0.8474,True,High
vie,0.6666666666666666,False,,False,,False,,,False,Low
yue,0.7291666666666666,True,3.0,True,0.8653,True,0.9718,0.923,True,High
zsm,0.6736111111111112,False,,False,,False,,,False,Low
