datasource,language,model,n,m,chisq,d,p,cfi,gfi,agfi,srmr,mcsc,rmsea,rmsea_l,rmsea_u,gdiff,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8
SATP,arb,unconstrained,809,3,44.0382623121296,10,3.2399823746433144e-06,0.99,0.99,0.964,0.018,-0.825,0.065,0.046,0.085,20.45,0.0,38.0,47.0,137.0,168.0,201.0,244.0,308.0
SATP,arb,equal_ang,809,3,527.6101872488643,17,2.856340933713354e-101,0.857,0.863,0.71,0.179,-0.85,0.193,0.179,0.207,,,,,,,,,
SATP,arb,equal_com,809,3,119.24831143737642,17,2.1442034571181936e-17,0.971,0.969,0.934,0.044,-0.849,0.086,0.072,0.101,21.46,0.0,36.0,45.0,135.0,167.0,201.0,242.0,308.0
SATP,arb,circumplex,809,3,649.412916622105,24,1.051818090844791e-121,0.825,0.837,0.755,0.18,-0.834,0.18,0.168,0.192,,,,,,,,,
SATP,bra,unconstrained,1080,3,70.63124987755575,10,3.3483249582157164e-11,0.99,0.986,0.95,0.02,-0.913,0.075,0.059,0.092,24.59,0.0,87.0,125.0,143.0,169.0,261.0,282.0,330.0
SATP,bra,equal_ang,1080,3,816.6731890017032,17,1.273926026549341e-162,0.863,0.843,0.668,0.243,-0.883,0.209,0.197,0.221,,,,,,,,,
SATP,bra,equal_com,1080,3,466.3589977923173,17,2.2701203418207575e-88,0.923,0.905,0.799,0.101,-0.896,0.157,0.144,0.169,20.77,0.0,81.0,118.0,136.0,169.0,258.0,274.0,327.0
SATP,bra,circumplex,1080,3,1374.0973693350047,24,1.7031523135280008e-275,0.769,0.762,0.643,0.255,-0.875,0.228,0.218,0.239,,,,,,,,,
SATP,cmn,unconstrained,1832,3,172.2207957672691,10,9.619371398660792e-32,0.982,0.978,0.921,0.023,-0.989,0.094,0.082,0.107,31.38,0.0,18.0,35.0,156.0,172.0,195.0,218.0,319.0
SATP,cmn,equal_ang,1832,3,1542.1762105571763,17,0.0,0.827,0.828,0.636,0.288,-0.956,0.221,0.212,0.231,,,,,,,,,
SATP,cmn,equal_com,1832,3,366.933848618136,17,1.4751603118223093e-67,0.96,0.954,0.903,0.044,-0.988,0.106,0.097,0.116,30.69,0.0,18.0,38.0,154.0,171.0,196.0,217.0,318.0
SATP,cmn,circumplex,1832,3,1716.8702246611404,24,0.0,0.808,0.813,0.719,0.284,-0.959,0.196,0.188,0.204,,,,,,,,,
SATP,deu,unconstrained,810,3,23.374233512192372,10,0.009446400053292945,0.997,0.996,0.986,0.009,-1.0,0.041,0.019,0.062,14.69,0.0,61.0,98.0,137.0,181.0,251.0,284.0,338.0
SATP,deu,equal_ang,810,3,403.26293755993385,17,3.854214417561571e-75,0.926,0.893,0.773,0.133,-0.982,0.168,0.154,0.182,,,,,,,,,
SATP,deu,equal_com,810,3,316.718936400545,17,3.9484196301831555e-57,0.943,0.915,0.82,0.059,-0.998,0.148,0.134,0.162,15.2,0.0,64.0,97.0,132.0,182.0,254.0,282.0,336.0
SATP,deu,circumplex,810,3,766.612033890909,24,2.3055234953306745e-146,0.859,0.813,0.719,0.137,-0.97,0.196,0.184,0.208,,,,,,,,,
SATP,ell,unconstrained,810,3,71.48093359190554,10,2.2933900284795963e-11,0.981,0.981,0.932,0.026,-0.996,0.087,0.069,0.107,12.62,0.0,71.0,90.0,141.0,163.0,229.0,271.0,331.0
SATP,ell,equal_ang,810,3,445.3821779260377,17,5.779296813255042e-84,0.866,0.884,0.754,0.126,-0.947,0.176,0.163,0.191,,,,,,,,,
SATP,ell,equal_com,810,3,246.73267580859113,17,9.693092074760271e-43,0.928,0.934,0.86,0.079,-1.0,0.129,0.115,0.144,13.0,0.0,72.0,86.0,133.0,161.0,233.0,267.0,328.0
SATP,ell,circumplex,810,3,595.9818103211251,24,1.642664642075909e-110,0.82,0.849,0.773,0.143,-0.931,0.172,0.16,0.184,,,,,,,,,
SATP,eng,unconstrained,864,3,75.85518905503513,10,3.2422802362468237e-12,0.988,0.981,0.932,0.037,-0.936,0.087,0.07,0.106,9.07,0.0,45.0,94.0,138.0,175.0,229.0,274.0,339.0
SATP,eng,equal_ang,864,3,534.2521880469808,17,1.1326864465209438e-102,0.903,0.869,0.723,0.099,-0.919,0.188,0.174,0.202,,,,,,,,,
SATP,eng,equal_com,864,3,370.0555287850665,17,3.2992413090656532e-68,0.934,0.907,0.803,0.052,-0.898,0.155,0.142,0.169,9.49,0.0,46.0,94.0,138.0,177.0,231.0,275.0,340.0
SATP,eng,circumplex,864,3,830.6489409309376,24,6.912095009937672e-160,0.848,0.811,0.717,0.111,-0.92,0.197,0.186,0.209,,,,,,,,,
SATP,fra,unconstrained,891,3,41.45895936543626,10,9.356704440002089e-06,0.993,0.991,0.968,0.017,-0.954,0.059,0.041,0.079,12.66,0.0,64.0,106.0,137.0,173.0,241.0,280.0,331.0
SATP,fra,equal_ang,891,3,267.5529987151639,17,5.334768294621013e-47,0.94,0.934,0.86,0.124,-0.939,0.129,0.115,0.143,,,,,,,,,
SATP,fra,equal_com,891,3,357.31459967596896,17,1.4845597941382383e-65,0.919,0.913,0.816,0.098,-0.965,0.15,0.137,0.164,13.09,0.0,69.0,102.0,129.0,173.0,246.0,275.0,325.0
SATP,fra,circumplex,891,3,625.0648787997578,24,1.33994025005239e-116,0.857,0.855,0.782,0.138,-0.925,0.168,0.157,0.179,,,,,,,,,
SATP,hrv,unconstrained,864,3,58.92090756455205,10,5.796258425259826e-09,0.991,0.986,0.95,0.014,-0.914,0.075,0.057,0.094,22.14,0.0,86.0,93.0,161.0,172.0,239.0,269.0,351.0
SATP,hrv,equal_ang,864,3,1394.201057486586,17,2.7245798912185073e-286,0.743,0.715,0.396,0.201,-0.877,0.306,0.293,0.32,,,,,,,,,
SATP,hrv,equal_com,864,3,290.70021840957867,17,9.31129754286185e-52,0.949,0.926,0.843,0.065,-0.895,0.137,0.123,0.151,22.52,0.0,84.0,93.0,160.0,173.0,243.0,273.0,354.0
SATP,hrv,circumplex,864,3,1688.5650548885121,24,0.0,0.689,0.675,0.513,0.214,-0.873,0.283,0.272,0.295,,,,,,,,,
SATP,ind,unconstrained,891,3,39.961897210222155,10,1.720853457382482e-05,0.993,0.992,0.971,0.022,-0.959,0.058,0.04,0.077,19.56,0.0,54.0,103.0,121.0,138.0,200.0,282.0,306.0
SATP,ind,equal_ang,891,3,732.2660738578926,17,1.2008912228958693e-144,0.84,0.833,0.646,0.21,-0.928,0.217,0.204,0.231,,,,,,,,,
SATP,ind,equal_com,891,3,315.1875667033083,17,8.189782003669034e-57,0.933,0.923,0.837,0.078,-0.905,0.14,0.127,0.154,18.9,0.0,53.0,104.0,123.0,139.0,202.0,284.0,308.0
SATP,ind,circumplex,891,3,1177.140933358168,24,1.827682438051856e-233,0.742,0.756,0.634,0.258,-0.923,0.232,0.221,0.244,,,,,,,,,
SATP,ita,unconstrained,810,3,58.38158414461877,10,7.3259913547873734e-09,0.989,0.985,0.946,0.03,-0.958,0.077,0.059,0.097,12.63,0.0,51.0,87.0,132.0,163.0,252.0,267.0,329.0
SATP,ita,equal_ang,810,3,660.3665317701171,17,2.2732437497444048e-129,0.847,0.835,0.651,0.155,-0.903,0.216,0.202,0.231,,,,,,,,,
