language,model,n,m,cfi,gfi,srmr,Score,passing
arb,equal_com,809,3,0.971,0.969,0.044,3,Pass
bra,equal_com,1080,3,0.923,0.905,0.101,2,Fail
cmn,equal_com,1832,3,0.96,0.954,0.044,3,Pass
deu,equal_com,810,3,0.943,0.915,0.059,3,Pass
ell,equal_com,810,3,0.928,0.934,0.079,3,Pass
eng,equal_com,864,3,0.934,0.907,0.052,3,Pass
fra,equal_com,891,3,0.919,0.913,0.098,1,Fail
hrv,equal_com,864,3,0.949,0.926,0.065,3,Pass
ind,equal_com,891,3,0.933,0.923,0.078,3,Pass
ita,equal_com,810,3,0.944,0.932,0.069,3,Pass
jpn,equal_com,915,3,0.905,0.904,0.08,1,Fail
kor,equal_com,809,3,0.939,0.918,0.1,2,Fail
nld,equal_com,864,3,0.967,0.943,0.056,3,Pass
pol,equal_com,918,3,0.943,0.915,0.053,3,Pass
spa,equal_com,1647,3,0.92,0.91,0.063,3,Pass
swe,equal_com,945,3,0.944,0.924,0.053,3,Pass
tha,equal_com,675,3,0.944,0.908,0.089,2,Fail
tur,equal_com,918,3,0.927,0.915,0.079,3,Pass
yue,equal_com,1458,3,0.974,0.962,0.043,3,Pass
