language,ci,p_value,pass
alb,0.3541666666666667,0.06587301587301587,False
arb,0.8888888888888888,0.0003968253968253968,True
bra,0.7777777777777778,0.0003968253968253968,True
cmn,0.8125,0.0003968253968253968,True
deu,0.9722222222222222,0.0003968253968253968,True
ell,0.9097222222222222,0.0003968253968253968,True
eng,0.9861111111111112,0.0003968253968253968,True
fra,0.9305555555555556,0.0003968253968253968,True
hrv,0.8541666666666666,0.0003968253968253968,True
ind,0.7708333333333334,0.0003968253968253968,True
ita,0.9027777777777778,0.0003968253968253968,True
jpn,0.8263888888888888,0.0003968253968253968,True
kor,0.8194444444444444,0.0003968253968253968,True
nld,0.7986111111111112,0.0003968253968253968,True
pol,0.8819444444444444,0.0003968253968253968,True
spa,0.9513888888888888,0.0003968253968253968,True
swe,0.9652777777777778,0.0003968253968253968,True
tha,0.8472222222222222,0.0003968253968253968,True
tur,0.8194444444444444,0.0003968253968253968,True
vie,0.6666666666666666,0.001984126984126984,False
yue,0.7291666666666666,0.0003968253968253968,True
zsm,0.6736111111111112,0.0015873015873015873,False
