Language,Eq Ang Cosine,Corr Ang Cosine,Eq Ang Procrustes,Corr Ang Procrustes,R2_PAQ1,R2_PAQ2,R2_PAQ3,R2_PAQ4,R2_PAQ5,R2_PAQ6,R2_PAQ7,R2_PAQ8
arb,0.986,0.9193,0.9755,0.9275,0.9093,0.9098,0.9057,0.9067,0.9092,0.9088,0.9069,0.907
cmn,0.9293,0.8572,0.8763,0.6858,0.6154,0.6162,0.6137,0.6116,0.6154,0.6176,0.6128,0.6112
deu,0.985,0.9537,0.9724,0.9516,0.9656,0.9685,0.9731,0.9711,0.9672,0.9684,0.9739,0.9701
ell,0.9836,0.9763,0.9702,0.9489,0.9753,0.9676,0.9616,0.9672,0.9722,0.9674,0.9592,0.9679
eng,0.9878,0.9787,0.9809,0.9789,0.9875,0.986,0.9896,0.9898,0.9881,0.987,0.9903,0.9873
hrv,0.9868,0.9719,0.9797,0.9762,0.9925,0.9938,0.9847,0.9854,0.9908,0.9934,0.985,0.9824
ind,0.9604,0.926,0.9366,0.8725,0.8957,0.9074,0.8729,0.874,0.8871,0.8999,0.8676,0.8743
ita,0.985,0.9287,0.9732,0.9229,0.8863,0.9127,0.9201,0.8981,0.8829,0.9092,0.9184,0.8874
nld,0.9776,0.9489,0.9397,0.8866,0.8926,0.9099,0.9347,0.9142,0.8981,0.9143,0.934,0.9103
pol,0.9786,0.9374,0.9654,0.9318,0.9428,0.9432,0.9526,0.9535,0.9462,0.9454,0.9543,0.9521
spa,0.9854,0.9756,0.9666,0.9462,0.9761,0.9763,0.9779,0.977,0.9764,0.9761,0.978,0.9774
swe,0.9857,0.9707,0.9709,0.9618,0.9876,0.9886,0.9899,0.99,0.9876,0.9877,0.9902,0.9888
tur,0.9538,0.9266,0.9231,0.8474,0.8734,0.8536,0.8719,0.8837,0.8769,0.8518,0.8779,0.8812
yue,0.9843,0.9718,0.9733,0.923,0.8701,0.9056,0.9172,0.8719,0.8653,0.9109,0.9117,0.871
